,product,Chemical,Amount
3348,Kraft Mac & Cheese Before Microwave,DEP,-0.9176149655000494
3349,Annie's Organic Classic Cheddar Mac and Cheese,DEP,-0.9108254234801079
3350,Annie's Organic Classic Cheddar Mac and Cheese,DEP,-0.9108254234801079
3351,Enfamil Neuro Pro 587g Infant Formula (Can),DEP,-1.2435129824572433
3352,Enfamil Neuro Pro 587g Infant Formula (Can),DEP,-1.2435129824572433
3353,Enfamil Neuro Pro 587g Infant Formula (Can),DEP,-1.2435129824572433
3354,Whole Foods Organic Broccoli,DEP,-0.7954032091411017
3355,Whole Foods Non-Organic Broccoli,DEP,-0.7954032091411017
3356,Whole Foods Non-Organic Broccoli,DEP,-0.7954032091411017
3357,Clover Organic Whole Milk in Whole Gallon Jug,DEP,0.23660717789001176
3358,Clover Whole Milk in Whole Gallon Jug,DEP,0.23660717789001176
3359,Clover Organic Whole Milk in Half Gallon Carton,DEP,0.23660717789001176
3360,Clover Whole Milk in Whole Gallon Jug,DEP,0.23660717789001176
3361,Clover Organic Whole Milk in Whole Gallon Jug,DEP,0.23660717789001176
3362,Gerber Baby Food Banana in Glass,DEP,-0.6256646586425634
3363,Gerber Natural for Baby Wonderfoods Banana Blueberry Pouch,DEP,-0.7207182469217449
3364,Gerber Natural for Baby Wonderfoods Banana Blueberry Pouch,DEP,-0.7207182469217449
3365,Gerber Natural for Baby Wonderfoods Banana Blueberry Pouch,DEP,-0.7207182469217449
3366,Almond Breeze Original Almond Milk Unsweetened in Carton,DEP,0.23660717789001176
3367,Oatly Oatmilk Full Fat Chilled in Carton,DEP,0.23660717789001176
3368,Oatly Oatmilk Full Fat Chilled in Carton,DEP,0.23660717789001176
3369,Driscoll's Non-Organic Strawberries,DEP,-0.4423470241041419
3370,Good Farms Organic Strawberries,DEP,-0.4423470241041419
3371,Pier 39 Farmer's Market Strawberries,DEP,-0.4423470241041419
3372,Chobani Whole Milk Plain Greek Yogurt,DEP,-0.2386607635058958
3373,Chobani Greek Yogurt Nonfat Plain,DEP,-0.37445160390472654
3374,Straus Organic Whole Milk Plain Greek Yogurt,DEP,-0.2386607635058958
3375,Straus Organic Whole Milk Plain Greek Yogurt,DEP,-0.2386607635058958
3376,Straus Organic Whole Milk European Style Plain Yogurt,DEP,-0.2386607635058958
3377,Trader Joe's Frozen Butter Chicken with Basmati Rice After Microwave,DEP,1.010614968163347
3378,Trader Joe's Frozen Butter Chicken with Basmati Rice After Microwave,DEP,1.010614968163347
3379,Trader Joe's Frozen Butter Chicken with Basmati Rice After Microwave,DEP,1.010614968163347
3380,Trader Joe's Frozen Butter Chicken with Basmati Rice Before Microwave,DEP,1.010614968163347
3381,Trader Joe's Frozen Butter Chicken with Basmati Rice Before Microwave,DEP,1.010614968163347
3382,Trader Joe's Frozen Butter Chicken with Basmati Rice Before Microwave,DEP,1.2509647556692773
3383,RXBAR 10g Protein Bar Blueberry Cashew Butter,DEP,-1.0398267218589972
3384,RXBAR 12g Protein Bar Blueberry,DEP,-1.0398267218589972
3385,Fairlife Core Power 26g Protein Shake Chocolate,DEP,1.6624110020777345
3386,Fairlife Core Power 26g Protein Shake Chocolate,DEP,1.6624110020777345
3387,Fairlife Core Power 26g Protein Shake Strawberry Banana,DEP,1.6624110020777345
3388,Fairlife Core Power 26g Protein Shake Strawberry Banana,DEP,1.6624110020777345
3389,Fairlife Core Power Elite 42g High Protein Shake Vanilla,DEP,1.6624110020777345
3390,Fairlife Core Power Elite 42g High Protein Shake Vanilla,DEP,1.6624110020777345
3391,Fairlife Core Power Elite 42g High Protein Shake Strawberry,DEP,1.6624110020777345
3392,Fairlife Core Power Elite 42g High Protein Shake Strawberry,DEP,1.6624110020777345
3393,Fairlife Core Power Elite 42g High Protein Shake Strawberry,DEP,1.6624110020777345
3394,Fairlife Core Power 26g Protein Shake Vanilla,DEP,1.6624110020777345
3395,Costco Seasoned Rotisserie Chicken,DEP,-0.8157718352009264
3396,Boba Guys Black Tea Juice,DEP,1.1192476404824114
3397,Boba Guys Black Tea Pearls,DEP,-0.3608725198648435
3398,Boba Guys Fruity Flavored Tea,DEP,1.1192476404824114
3399,Whole Foods Sourdough Bread,DEP,-0.9583522176196987
3400,Ghirardelli Intense Dark 72% Cacao Dark Chocolate in Plastic,DEP,-1.1756175622578278
3401,Ghirardelli Intense Dark 72% Cacao Dark Chocolate in Plastic,DEP,-1.1756175622578278
3402,Ben & Jerry's Phish Food Ice Cream,DEP,-0.4219783980443173
3403,Ben & Jerry's Phish Food Ice Cream,DEP,-0.4219783980443173
3404,Ben & Jerry's Vanilla Ice Cream,DEP,0.25765475815183053
3405,Ben & Jerry's Vanilla Ice Cream,DEP,-0.4219783980443173
3406,Ben & Jerry's Vanilla Ice Cream,DEP,-0.4219783980443173
3407,Ben & Jerry's Vanilla Ice Cream,DEP,-0.4219783980443173
3408,Impossible Impossible Meat Patty,DEP,-0.6256646586425634
3409,Good & Gather Powdered Milk Instant Nonfat Dry,DEP,-1.2367234404373018
3410,Good & Gather Powdered Milk Instant Nonfat Dry,DEP,-1.2367234404373018
3411,Nestle Nescafe Instant Coffee Powder,DEP,0.30450259808942715
3412,Nestle Nescafe Instant Coffee Powder,DEP,-1.3589351967962493
3413,Nestle Nescafe Instant Coffee Powder,DEP,-0.0349745029076497
3414,Good & Gather Granulated Sugar,DEP,-1.3385665707364247
3415,Good & Gather Granulated Sugar,DEP,-1.3385665707364247
3416,Ritz Crackers Original,DEP,-1.2842502345768925
3417,Ghirardelli Sweet Ground Powder Chocolate & Cocoa,DEP,-1.3589351967962493
3418,Ghirardelli Sweet Ground Powder Chocolate & Cocoa,DEP,-1.3589351967962493
3419,Whole Foods Mozzarella String Cheese Low-Moisture Part-Skim,DEP,-1.2027757303375939
3420,Whole Foods Mozzarella String Cheese Low-Moisture Part-Skim,DEP,-1.2027757303375939
3421,Amy's Black Bean Vegetable Burrito Before Microwave,DEP,-0.2386607635058958
3422,Shake Shack Chicken Bites,DEP,-0.7410868729815695
3423,Shake Shack Chicken Bites,DEP,-0.7410868729815695
3424,Shake Shack Chicken Bites,DEP,-0.7410868729815695
3425,Shake Shack Cheeseburger,DEP,0.16192221567065485
3426,Shake Shack Cheeseburger,DEP,0.16192221567065485
3427,Shake Shack Cheeseburger,DEP,0.16192221567065485
3428,Shake Shack Vanilla Shake,DEP,1.6624110020777345
3429,Shake Shack Vanilla Shake,DEP,1.6624110020777345
3430,Shake Shack Vanilla Shake,DEP,1.6624110020777345
3431,Starbucks Birthday Cake Pop,DEP,-1.1348803101381786
3432,Starbucks Birthday Cake Pop,DEP,-1.1348803101381786
3433,Starbucks Birthday Cake Pop,DEP,-1.1348803101381786
3434,Starbucks Chocolate Croissant Warmed,DEP,-0.8497195453006341
3435,Starbucks Chocolate Croissant Warmed,DEP,-0.8497195453006341
3436,Starbucks Chocolate Croissant Warmed,DEP,-0.8497195453006341
3437,Starbucks Spinach Feta Wrap Warmed,DEP,-0.3133457257252527
3438,Starbucks Spinach Feta Wrap Warmed,DEP,-0.3133457257252527
3439,Starbucks Spinach Feta Wrap Warmed,DEP,-0.3133457257252527
3440,Starbucks Sausage Cheddar Egg Breakfast Sandwich Warmed,DEP,-0.32692480976513577
3441,Starbucks Sausage Cheddar Egg Breakfast Sandwich Warmed,DEP,-0.32692480976513577
3442,Starbucks Sausage Cheddar Egg Breakfast Sandwich Warmed,DEP,-0.32692480976513577
3443,Starbucks Bacon Gruyere Egg Bites Warmed,DEP,-0.5102424443035573
3444,Starbucks Bacon Gruyere Egg Bites Warmed,DEP,-0.5102424443035573
3445,Starbucks Bacon Gruyere Egg Bites Warmed,DEP,-0.5102424443035573
3446,Starbucks Matcha Latte,DEP,1.1192476404824114
3447,Starbucks Matcha Latte,DEP,1.1192476404824114
3448,Starbucks Matcha Latte,DEP,1.1192476404824114
3449,Starbucks Strawberry Acai Refresher,DEP,1.1192476404824114
3450,Starbucks Strawberry Acai Refresher,DEP,1.1192476404824114
3451,Starbucks Strawberry Acai Refresher,DEP,1.1192476404824114
3452,Starbucks Caramel Frappuccino,DEP,1.1192476404824114
3453,Starbucks Caramel Frappuccino,DEP,1.1192476404824114
3454,Starbucks Caramel Frappuccino,DEP,1.1192476404824114
3455,Starbucks Nitro Cold Brew,DEP,1.1192476404824114
3456,Starbucks Nitro Cold Brew,DEP,1.1192476404824114
3457,Starbucks Nitro Cold Brew,DEP,1.1192476404824114
3458,In-n-Out Vanilla Shake,DEP,1.6624110020777345
3459,In-n-Out Vanilla Shake,DEP,1.6624110020777345
3460,In-n-Out Vanilla Shake,DEP,1.6624110020777345
3461,Wild Planet Albacore Wild Tuna,DEP,-0.42876794006425883
3462,Wild Planet Albacore Wild Tuna,DEP,-0.42876794006425883
3463,Wild Planet Albacore Wild Tuna,DEP,-0.42876794006425883
3464,Whole Foods Bananas,DEP,-0.5917169485428557
3465,Whole Foods Organic Bananas,DEP,-0.5917169485428557
3466,Whole Foods Organic Bananas,DEP,-0.5917169485428557
3467,Whole Foods Blueberries,DEP,-0.4423470241041419
3468,Whole Foods Lettuce,DEP,-1.0737744319587048
3469,Whole Foods Lettuce,DEP,-1.0737744319587048
3470,Whole Foods Lettuce,DEP,-1.0737744319587048
3471,Whole Foods Tomatoes,DEP,-0.557769238443148
3472,Whole Foods Tomatoes,DEP,-0.557769238443148
3473,Whole Foods Tomatoes,DEP,-0.557769238443148
3474,Whole Foods Organic Broccoli,DEP,-0.7954032091411017
3475,Whole Foods Organic Bananas,DEP,-0.5917169485428557
3476,Whole Foods Bananas,DEP,-0.5917169485428557
3477,Whole Foods Blueberries,DEP,-0.4423470241041419
3478,Whole Foods Bananas,DEP,-0.5917169485428557
3479,Whole Foods Blueberries,DEP,-0.4423470241041419
3480,Unfiltered Tap Water - PlasticList Office (30sec after start),DEP,1.0174045101832885
3481,Brita Filtered Tap Water - Nalgene Bottle (after 1hr),DEP,1.0174045101832885
3482,Brita Filtered Tap Water - Brita Pitcher (after 1hr),DEP,1.0174045101832885
3483,Brita Filtered Tap Water - Hydro Flask (after 1hr),DEP,1.0174045101832885
3484,Brita Filtered Tap Water - Munchkin Cup (after 1hr),DEP,1.0174045101832885
3485,Brita Filtered Tap Water - Solo Cup (after 1hr),DEP,1.0174045101832885
3486,Brita Filtered Tap Water - Brita Pitcher 2 (directly after filtering),DEP,1.0174045101832885
3487,Brita Filtered Tap Water - Brita Pitcher 1 (directly after filtering),DEP,1.0174045101832885
3488,Kraft Mac & Cheese After Microwave,DEP,-0.9176149655000494
3489,Kraft Mac & Cheese After Microwave,DEP,-0.9176149655000494
3490,Kraft Mac & Cheese After Microwave,DEP,-0.9176149655000494
3491,Straus Organic Whole Milk in Glass,DEP,0.23660717789001176
3492,Boneless Beef Ribeye Steak from Local Butcher,DEP,-0.8157718352009264
3493,Boneless Beef Ribeye Steak from Local Butcher,DEP,-0.8157718352009264
3494,Boneless Beef Ribeye Steak from Local Butcher,DEP,-0.8157718352009264
3495,Amy's Black Bean Vegetable Burrito Before Microwave,DEP,-0.2386607635058958
3496,Amy's Black Bean Vegetable Burrito After Microwave,DEP,-0.2386607635058958
3497,Amy's Black Bean Vegetable Burrito Before Microwave,DEP,-0.2386607635058958
3498,Amy's Black Bean Vegetable Burrito After Microwave,DEP,-0.2386607635058958
3499,Nespresso Medium Roast Black Capsule Coffee,DEP,0.21623855183018714
3500,Nespresso Medium Roast Black Capsule Coffee,DEP,0.21623855183018714
3501,Nespresso Medium Roast Black Capsule Coffee,DEP,0.21623855183018714
3502,Farmer's Market Blueberries,DEP,-0.4423470241041419
3503,Farmer's Market Blueberries,DEP,-0.4423470241041419
3504,Farmer's Market Blueberries,DEP,-0.4423470241041419
3505,Unfiltered Tap Water - Y Combinator (0sec after start),DEP,1.0174045101832885
3506,Unfiltered Tap Water - Y Combinator (30sec after start),DEP,1.0174045101832885
3507,Unfiltered Tap Water - PlasticList Office (30sec after start),DEP,1.0174045101832885
3508,Unfiltered Tap Water - Hayes Valley (30sec after start),DEP,1.0174045101832885
3509,Unfiltered Tap Water - Fort Mason (0sec after start),DEP,1.0174045101832885
3510,Unfiltered Tap Water - Fort Mason (30sec after start),DEP,1.0174045101832885
3511,SF Bay Water,DEP,1.0174045101832885
3512,Enfamil Neuro Pro 587g Infant Formula (Can),DEP,-1.2435129824572433
3513,Enfamil Neuro Pro 587g Infant Formula (Can),DEP,-1.2435129824572433
3514,Enfamil Neuro Pro 587g Infant Formula (Tub),DEP,-1.2435129824572433
3515,Chicken Tikka Masala from Indian Restaurant after 45 Min in Takeout Container,DEP,1.0513522202829961
3516,Chicken Tikka Masala from Indian Restaurant,DEP,1.7031482541973837
3517,Fairlife Core Power Elite 42g High Protein Shake Elite Chocolate,DEP,1.6624110020777345
3518,Gus's Whole Roasted Lemon Chicken,DEP,-0.8157718352009264
3519,Gus's Whole Roasted Lemon Chicken,DEP,-0.8157718352009264
3520,Gus's Whole Roasted Lemon Chicken,DEP,-0.8157718352009264
3521,Blue Bottle Medium Roast Black Coffee from SF Ferry Building,DEP,0.21623855183018714
3522,Blue Bottle Medium Roast Black Coffee from SF Hayes Valley,DEP,0.21623855183018714
3523,Tartine Medium Roast Black Coffee,DEP,0.21623855183018714
3524,Boudin Sourdough Bread,DEP,-0.9583522176196987
3525,Tartine Sourdough Bread,DEP,-0.9583522176196987
3526,Gerber Baby Food Organic Carrot in Glass,DEP,-0.6256646586425634
3527,Gerber Baby Food Banana in Glass,DEP,-0.6256646586425634
3528,Knox Original Unflavored Gelatine,DEP,-1.3860933648760154
3529,Knox Original Unflavored Gelatine,DEP,-1.3860933648760154
3530,Knox Original Unflavored Gelatine,DEP,-1.3860933648760154
3531,Knox Original Unflavored Gelatine,DEP,-1.3860933648760154
3532,Knox Original Unflavored Gelatine,DEP,-1.3860933648760154
3533,Cheerios 100% Whole Grain Oats Cereal,DEP,-1.128090768118237
3534,Cheerios 100% Whole Grain Oats Cereal,DEP,-1.128090768118237
3535,Cheerios 100% Whole Grain Oats Cereal,DEP,-1.128090768118237
3536,Cheerios 100% Whole Grain Oats Cereal,DEP,-1.128090768118237
3537,Haribo Goldbears,DEP,-1.1891966462977108
3538,Haribo Goldbears,DEP,-1.1891966462977108
3539,Haribo Goldbears,DEP,-1.1891966462977108
3540,Ricola Honey Lemon Echinacea Herbal Cold Tablets,DEP,-1.2435129824572433
3541,Ricola Honey Lemon Echinacea Herbal Cold Tablets,DEP,-1.2435129824572433
3542,Ricola Honey Lemon Echinacea Herbal Cold Tablets,DEP,-1.2435129824572433
3543,Happy Baby Baby Food Organic Carrot in Glass,DEP,-0.6256646586425634
3544,Straus Organic Plain Nonfat Greek Yogurt,DEP,-0.2386607635058958
3545,Impossible Impossible Meat Patty,DEP,-0.6256646586425634
3546,Impossible Impossible Meat Patty,DEP,-0.6256646586425634
3547,M&M's Peanut Chocolate Candies Sharing Size,DEP,-1.2027757303375939
3548,M&M's Peanut Chocolate Candies Sharing Size,DEP,-1.2027757303375939
3549,M&M's Peanut Chocolate Candies Sharing Size,DEP,-1.2027757303375939
3550,Stanford University Dining Hall Water,DEP,1.0174045101832885
3551,LaCroix Sparkling Water Pamplemousse,DEP,1.1192476404824114
3552,LaCroix Sparkling Water Pure,DEP,1.1192476404824114
3553,Raw Cow Milk from Farm in Glass,DEP,0.23660717789001176
3554,Whole Foods Organic Boneless Beef Ribeye Steak Grass Fed,DEP,-0.8157718352009264
3555,Whole Foods Boneless Beef Ribeye Steak Pasture Raised,DEP,-0.8157718352009264
3556,"Stanford University Dining Meal (Beans, Chicken, Rice, Cauliflower)",DEP,1.8253600105563312
3557,"Stanford University Dining Meal (Beans, Chicken, Rice, Cauliflower)",DEP,1.8253600105563312
3558,"Stanford University Dining Meal (Beans, Chicken, Rice, Cauliflower)",DEP,1.8253600105563312
3559,RXBAR 10g Protein Bar Blueberry Cashew Butter,DEP,-1.0398267218589972
3560,RXBAR 10g Protein Bar Blueberry Cashew Butter,DEP,-1.0398267218589972
3561,RXBAR 10g Protein Bar Blueberry Cashew Butter,DEP,-1.0398267218589972
3562,Fairlife Core Power Elite 42g High Protein Shake Elite Chocolate,DEP,1.6624110020777345
3563,Fairlife Core Power Elite 42g High Protein Shake Elite Chocolate,DEP,1.6624110020777345
3564,Whole Foods Organic Boneless Skinless Chicken Breast,DEP,-0.6324542006625049
3565,Spam Canned Meat,DEP,-1.012668553779231
3566,Spam Canned Meat,DEP,-1.012668553779231
3567,Spam Canned Meat,DEP,-1.012668553779231
