course,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC
PHYSICS 67,1,5,0,0,0,0,0,0,0,0,0,0,0,73,0
PHYSICS 70,12,39,23,20,8,5,2,0,1,0,1,0,0,4,0
PHYSICS 83N,28,36,4,0,1,0,0,0,0,0,0,0,0,4,0
POLISCI 110C,7,38,37,32,15,9,3,2,0,0,0,0,0,0,1
POLISCI 110D,1,46,82,76,29,17,2,0,1,1,0,0,3,3,2
POLISCI 110Y,1,7,23,20,14,6,2,1,0,0,0,0,0,1,0
POLISCI 114D,2,29,55,53,24,11,3,1,1,0,0,0,0,7,0
POLISCI 114S,6,64,100,72,29,19,2,2,0,0,0,0,1,4,1
POLISCI 120C,9,27,12,7,6,0,1,0,0,0,0,0,0,1,0
POLISCI 122,3,76,65,60,30,6,0,0,2,0,0,0,1,5,0
POLISCI 136R,1,12,20,6,0,0,0,1,0,0,0,0,0,1,0
POLISCI 148,0,7,8,8,3,3,2,0,0,0,0,0,0,0,0
POLISCI 149S,1,30,18,6,4,3,3,1,0,0,0,0,1,3,0
POLISCI 149T,0,9,17,3,5,0,0,0,0,0,0,0,1,1,0
POLISCI 236,3,10,9,5,6,0,0,0,0,0,0,0,0,0,0
PORTLANG 11A,0,15,14,4,0,0,0,0,0,0,0,0,0,3,0
PORTLANG 1A,1,56,30,9,3,2,0,0,1,0,0,0,1,6,0
PORTLANG 2A,0,32,22,9,2,0,0,0,1,0,0,0,0,8,0
PSYC 135,101,496,376,218,82,26,6,3,0,0,1,0,4,82,1
PSYC 139,3,15,11,3,1,0,0,0,0,0,0,0,0,0,0
PSYC 199,17,45,0,1,0,0,0,0,0,0,0,0,0,13,0
PSYC 233,0,3,0,0,1,0,0,0,0,0,0,0,1,27,1
PSYC 235,6,26,23,14,3,0,0,0,0,0,0,0,0,5,1
PSYC 290,33,7,0,0,0,0,0,0,0,0,0,0,0,1,0
PSYC 78Q,27,19,3,2,0,0,0,0,0,0,0,0,0,1,0
PSYC 81Q,1,18,1,1,2,0,0,0,0,0,0,0,0,8,0
PSYCH 1,112,542,493,398,302,112,45,28,3,0,1,0,8,77,3
PSYCH 10,20,113,26,30,65,14,8,5,3,1,0,0,4,7,2
PSYCH 101,22,50,31,23,29,4,3,3,1,0,1,0,1,2,0
PSYCH 102,27,111,28,11,14,1,0,1,0,1,1,0,0,2,1
PSYCH 120,2,28,3,10,21,1,0,1,0,0,0,0,0,4,1
PSYCH 138,2,31,48,11,12,1,0,2,0,0,0,0,0,7,0
PSYCH 141,8,69,12,7,23,3,2,6,1,0,2,1,0,7,0
PSYCH 146,5,48,11,4,4,1,0,3,0,0,0,0,0,1,0
PSYCH 147,7,93,22,5,1,2,0,0,0,0,0,0,0,2,0
PSYCH 155,5,34,20,9,6,1,0,0,0,0,0,0,0,1,0
PSYCH 195,0,6,0,0,0,0,0,0,0,0,0,0,0,162,1
PSYCH 252,3,15,1,5,2,1,0,0,1,0,0,0,1,1,0
PSYCH 30,31,91,56,42,58,20,14,12,3,1,0,0,1,12,0
PSYCH 45,3,90,72,50,50,13,8,11,4,0,0,0,2,12,0
PSYCH 60,24,114,65,43,59,8,11,20,2,2,1,1,0,9,1
PSYCH 60A,5,45,5,5,2,1,0,2,0,0,0,0,1,3,0
PSYCH 70,13,144,88,83,79,25,6,11,4,0,2,1,2,17,1
PSYCH 75,5,72,25,8,11,3,1,1,0,0,0,0,2,1,0
PSYCH 80,28,44,22,13,21,6,1,2,1,0,1,0,1,1,0
PSYCH 90,23,58,35,35,48,12,4,6,1,0,1,0,0,2,1
PSYCH 95,17,64,26,19,17,6,0,4,2,1,0,0,0,5,2
PUBLPOL 101,1,51,25,20,4,4,1,1,0,0,0,0,1,5,0
PUBLPOL 103C,1,18,19,14,4,3,1,0,0,0,0,0,0,2,0
PUBLPOL 156,7,19,13,1,0,0,0,0,0,0,0,0,0,0,0
PWR 1AH,1,62,7,12,3,1,0,0,0,0,0,0,0,1,0
PWR 1CA,1,30,40,29,14,1,0,1,0,0,0,0,0,0,0
PWR 1DH,2,18,28,18,4,0,0,1,1,0,0,0,0,0,1
PWR 1GEV,4,13,8,3,4,0,0,0,0,0,0,0,0,2,0
PWR 1GM,3,23,14,9,2,1,1,0,0,0,0,0,0,0,0
PWR 1GMR,1,15,25,17,2,2,2,0,0,0,0,0,0,0,1
PWR 1GMX,2,7,19,9,1,0,1,0,0,0,0,0,0,0,1
PWR 1JP,1,28,13,20,14,2,0,0,0,0,0,0,0,0,0
PWR 1PB,0,42,22,14,3,0,0,0,0,0,0,0,0,0,0
PWR 1SB,1,22,11,13,3,3,1,1,0,0,0,0,0,1,0
PWR 1SP,0,18,13,9,3,0,2,0,0,0,0,0,0,0,0
PWR 1ST,6,28,2,0,0,0,0,0,0,0,0,0,0,0,0
PWR 1WG,2,26,23,20,1,0,0,0,0,0,0,0,0,0,0
PWR 2AH,0,56,14,13,1,1,0,1,0,0,0,0,0,1,0
PWR 2AO,3,58,44,20,5,2,0,1,0,0,0,0,1,2,0
PWR 2CA,1,13,24,6,2,0,0,0,0,0,0,0,0,0,0
PWR 2CR,0,25,19,7,4,1,1,1,0,0,0,0,1,0,0
PWR 2DH,0,23,30,7,7,1,0,1,0,0,0,0,0,0,0
PWR 2GAW,0,23,21,7,0,1,0,0,0,0,0,0,0,0,0
PWR 2KSB,0,12,30,6,3,1,0,1,0,0,0,0,1,0,0
PWR 2PB,1,67,27,34,3,0,1,0,0,0,0,0,1,3,0
PWR 2SM,0,13,11,5,1,0,0,0,0,0,0,0,0,1,0
PWR 2SS,0,44,31,11,1,0,0,0,0,0,0,0,0,1,0
PWR 2WG,0,37,36,39,1,0,0,0,0,0,0,0,0,0,0
SLAVLANG 1,19,28,10,2,1,1,0,0,0,0,0,0,0,4,0
SLAVLANG 2,16,27,8,2,1,0,0,0,0,0,0,0,0,2,0
SLAVLANG 3,16,23,4,3,0,0,0,0,0,0,0,0,1,2,0
SLE 199,1,48,2,0,0,0,0,0,0,0,0,0,0,3,0
SLE 91,3,51,221,150,61,4,0,1,0,0,0,0,2,6,2
SLE 92,0,61,196,107,37,3,2,1,0,0,0,0,2,4,1
SLE 93,3,84,179,73,27,6,0,0,0,0,0,0,1,4,0
SOC 114,0,62,92,34,11,3,0,0,0,0,0,0,0,4,0
SOC 117A,4,10,8,2,4,1,0,0,0,0,0,0,0,1,0
SOC 118,0,15,15,3,11,3,2,1,0,0,0,0,1,2,1
SOC 120,1,25,39,26,17,6,3,3,2,0,0,0,0,1,0
SOC 140,6,34,19,20,5,0,0,1,0,0,0,0,0,2,0
SOC 142,2,44,37,19,25,7,4,4,0,0,1,0,0,3,0
SOC 149,0,14,47,20,5,2,1,0,0,0,0,0,1,4,0
SOC 155,3,49,48,25,14,2,1,0,0,0,0,0,1,2,0
SOC 160,0,11,8,7,5,1,0,0,0,0,0,0,0,0,0
SOC 161,0,15,21,3,0,0,0,2,0,0,0,0,0,2,0
SOC 170,1,13,14,10,6,3,1,1,1,0,0,0,0,1,1
SOC 180A,8,23,39,25,19,6,3,2,0,0,1,0,0,2,0
SPANLANG 1,58,171,78,29,23,3,3,1,1,0,0,0,0,35,0
SPANLANG 10,2,3,1,0,0,0,0,0,0,0,0,0,1,86,2
SPANLANG 100,59,72,11,3,0,0,0,0,0,0,0,0,1,15,1
SPANLANG 102,24,37,9,2,1,0,0,0,0,0,0,0,0,1,2
SPANLANG 12C,64,109,60,28,8,0,1,0,0,0,0,0,2,6,0
SPANLANG 13C,44,98,39,16,9,0,0,1,0,0,0,0,2,5,1
SPANLANG 13R,46,53,10,6,1,1,0,0,0,0,0,0,1,2,0
SPANLANG 15,0,10,2,0,1,0,0,0,0,0,0,0,1,135,0
SPANLANG 1A,8,36,25,6,6,3,0,0,0,0,0,0,0,5,0
SPANLANG 2,95,194,102,33,16,3,2,0,0,0,0,0,0,29,0
SPANLANG 21B,17,26,4,2,0,0,0,0,0,0,0,0,0,1,0
SPANLANG 22B,22,26,4,0,0,0,0,0,0,0,0,0,0,2,0
SPANLANG 23B,14,22,5,0,0,0,0,0,0,0,0,0,0,0,0
SPANLANG 2A,11,46,11,8,5,0,0,0,0,0,0,0,0,12,0
SPANLANG 3,142,267,157,71,24,9,5,1,2,0,0,0,3,55,1
SPECLANG 198Q,0,53,8,1,0,0,0,0,0,0,0,0,0,0,0
SPECLANG 297,12,49,1,0,0,0,0,0,0,0,0,0,0,13,0
STATS 110,25,104,42,50,64,30,16,10,4,0,2,0,3,10,1
STATS 116,36,109,60,60,76,25,9,10,1,1,2,0,5,30,3
STATS 141,7,23,18,10,8,5,2,2,0,0,1,0,0,4,1
STATS 160,4,18,4,1,8,2,0,1,0,0,0,0,1,2,0
STATS 191,21,52,32,5,11,0,1,0,0,0,1,0,0,10,1
STATS 200,12,67,25,27,20,14,5,6,1,0,0,0,0,15,0
STATS 203,3,15,6,6,4,1,0,0,0,0,0,0,0,2,0
STATS 217,9,19,11,8,3,0,0,0,0,0,0,0,0,6,0
STATS 240,6,35,3,0,0,0,0,0,0,0,0,0,0,3,0
STATS 315A,8,9,6,8,0,1,0,0,0,0,0,0,0,8,0
STATS 60,173,961,338,198,492,125,37,48,18,2,6,0,9,83,10
SURG 68Q,8,25,11,3,3,0,0,0,0,0,0,0,0,2,0
UAR 56,19,11,0,0,1,0,0,0,0,0,0,0,0,136,3
URBANST 110,4,62,228,158,51,5,3,1,0,0,0,0,2,3,2
URBANST 131,0,5,1,2,0,0,0,0,0,0,0,0,0,107,3
URBANST 132,0,27,20,5,5,0,0,1,0,0,0,0,1,1,1
URBANST 203,2,11,9,8,7,0,1,3,0,0,0,0,0,1,1
