Academic Year,Undergrad Plan,Master's Plan,Number of Completions
2020,Biology (BS),Mgmt Sci & Engineering (MS),1
2020,Biology (BSH),Biomedical Informatics (MS),1
2020,Biology (BSH),Earth Systems (MS),1
2020,Biology (BSH),Epidemiology & Clin Rsrch (MS),1
2020,Biology (BSH),Epidemiology (MS),1
2020,Biology (BSH),Statistics (MS),1
2020,Chemistry (BS),Bioengineering (MS),1
2020,Chemistry (BS),Biology (MS),1
2020,Chemistry (BS),Chemistry (MS),1
2020,Chemistry (BS),Civil & Envir Engr (MS),1
2020,Chemistry (BS),Computer Science (MS),1
2020,Classics (BA),Computer Science (MS),1
2020,Comp Stu Race & Eth (BA),Latin American Studies (MA),1
2020,Comp Stu Race & Eth (BAH),Communication (MA),1
2020,Comparative Lit (BA),Mod Thought & Lit (MA),1
2020,Computer Science (BS),Biology (MS),1
2020,Computer Science (BS),Earth Systems (MS),1
2020,Computer Science (BS),Sociology (MA),1
2020,Computer Science (BS),Symbolic Systems (MS),1
2020,Earth Systems (BS),Mgmt Sci & Engineering (MS),1
2020,Earth Systems (BS),Sustainability Sci & Prac (MA),1
2020,Earth Systems (BS),Sustainability Sci & Prac (MS),1
2020,Electrical Engineering (BS),Civil & Envir Engr (MS),1
2020,Electrical Engineering (BS),Mgmt Sci & Engineering (MS),1
2020,Electrical Engineering (BSH),Computer Science (MS),1
2020,Electrical Engineering (BSH),Electrical Engineering (MS),1
2020,Energy Resources Engineer(BS),Energy Resources Engineer (MS),1
2020,Energy Resources Engineer(BSH),Comput & Math Engr (MS),1
2020,Engineering (BS),Bioengineering (MS),1
2020,Engineering (BS),Biology (MS),1
2020,Engineering (BS),Community Health/Prev Res (MS),1
2020,Engineering (BS),Earth Systems (MA),1
2020,Engineering (BS),Sustainability Sci & Prac (MS),1
2020,English (BA),Communication (MA),1
2020,English (BA),Computer Science (MS),1
2020,English (BA),Sustainability Sci & Prac (MA),1
2020,English (BAH),Sustainability Sci & Prac (MA),1
2020,Envir Systems Engr (BS),Civil & Envir Engr (MS),1
2020,Envir Systems Engr (BSH),Civil & Envir Engr (MS),1
2020,Geological Sciences (BSH),Geological Sciences (MS),1
2020,History (BA),Earth Systems (MA),1
2020,History (BA),History (MA),1
2020,Human Biology (BA),Education (MA),1
2020,Human Biology (BAH),Community Health/Prev Res (MS),1
2020,Human Biology (BS),Biology (MS),1
2020,Human Biology (BS),Civil & Envir Engr (MS),1
2020,Human Biology (BS),Community Health/Prev Res (MS),1
2020,Human Biology (BS),Earth Systems (MA),1
2020,Human Biology (BS),Sustainability Sci & Prac (MS),1
2020,Human Biology (BSH),Bioengineering (MS),1
2020,Human Biology (BSH),Epidemiology & Clin Rsrch (MS),1
2020,Human Biology (BSH),Epidemiology (MS),1
2020,ILAC (BA),Latin American Studies (MA),1
2020,Indiv Des Major-Engr (BS),Communication (MA),1
2020,Indiv Des Major-Engr (BS),Mgmt Sci & Engineering (MS),1
2020,International Relat (BA),Communication (MA),1
2020,Linguistics (BA),Computer Science (MS),1
2020,Materials Science & Engr (BS),Aeronautics & Astro (MS),1
2020,Materials Science & Engr (BS),Applied and Engr Physics (MS),1
2020,Materials Science & Engr (BS),Comput & Math Engr (MS),1
2020,Materials Science & Engr (BS),Mechanical Engineer (MS),1
2020,Materials Science & Engr (BSH),Electrical Engineering (MS),1
2020,Math & Comp Science (BS),Biomedical Informatics (MS),1
2020,Math & Comp Science (BS),Comput & Math Engr (MS),1
2020,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),1
2020,Math & Comp Science (BS),Public Policy (MA),1
2020,Math & Comp Science (BSH),Computer Science (MS),1
2020,Math & Comp Science (BSH),Mgmt Sci & Engineering (MS),1
2020,Mathematics (BS),Applied and Engr Physics (MS),1
2020,Mathematics (BS),Electrical Engineering (MS),1
2020,Mathematics (BSH),Statistics (MS),1
2020,Mechanical Engineer (BS),Civil & Envir Engr (MS),1
2020,Mechanical Engineer (BS),Engineering (MS),1
2020,Mechanical Engineer (BSH),Mechanical Engineer (MS),1
2020,Mgmt Sci & Engineering (BS),International Policy (MA),1
2020,Mgmt Sci & Engineering (BS),Public Policy (MA),1
2020,Music (BAH),Computer Science (MS),1
2020,Philosophy (BA),Communication (MA),1
2020,Physics (BS),Education (MA),1
2020,Physics (BS),Electrical Engineering (MS),1
2020,Political Science (BA),Mgmt Sci & Engineering (MS),1
2020,Political Science (BA),Sociology (MA),1
2020,Political Science (BAH),Mgmt Sci & Engineering (MS),1
2020,Psychology (BA),Community Health/Prev Res (MS),1
2020,Psychology (BA),Computer Science (MS),1
2020,Psychology (BA),History (MA),1
2020,Psychology (BA),Statistics (MS),1
2020,Psychology (BA),Symbolic Systems (MS),1
2020,Psychology (BAH),Sociology (MA),1
2020,Public Policy (BA),Civil & Envir Engr (MS),1
2020,Public Policy (BAH),Mgmt Sci & Engineering (MS),1
2020,Public Policy (BAH),Public Policy (MA),1
2020,"Science, Tech, & Soc (BA)",Sustainability Sci & Prac (MA),1
2020,"Science, Tech, & Soc (BAH)",Symbolic Systems (MS),1
2020,"Science, Tech, & Soc (BS)",Computer Science (MS),1
2020,"Science, Tech, & Soc (BS)",Sustainability Sci & Prac (MA),1
2020,Sociology (BA),Education (MA),1
2020,Sociology (BA),Sociology (MA),1
2020,Symbolic Systems (BS),Communication (MA),1
2020,Symbolic Systems (BS),Education (MA),1
2020,Symbolic Systems (BS),Electrical Engineering (MS),1
2020,Symbolic Systems (BS),Music (MA),1
2020,Symbolic Systems (BS),Symbolic Systems (MS),1
2020,Symbolic Systems (BSH),Mgmt Sci & Engineering (MS),1
2021,Computer Science (BS),Computer Science (MS),110
2021,Mechanical Engineer (BS),Mechanical Engineer (MS),29
2021,Electrical Engineering (BS),Electrical Engineering (MS),22
2021,Mathematics (BS),Computer Science (MS),15
2021,Symbolic Systems (BS),Computer Science (MS),14
2021,Engineering (BS),Mechanical Engineer (MS),12
2021,Mgmt Sci & Engineering (BS),Mgmt Sci & Engineering (MS),10
2021,Computer Science (BSH),Computer Science (MS),9
2021,Math & Comp Science (BS),Computer Science (MS),8
2021,Computer Science (BS),Mgmt Sci & Engineering (MS),6
2021,Earth Systems (BS),Earth Systems (MS),6
2021,Economics (BA),Computer Science (MS),5
2021,Economics (BA),Mgmt Sci & Engineering (MS),5
2021,Human Biology (BA),Community Health/Prev Res (MS),5
2021,Mgmt Sci & Engineering (BS),Sustainability Sci & Prac (MS),5
2021,Bioengineering (BS),Computer Science (MS),4
2021,Biology (BS),Biology (MS),4
2021,Biology (BSH),Biology (MS),4
2021,Civil Engineering (BS),Civil & Envir Engr (MS),4
2021,Computer Science (BS),Statistics (MS),4
2021,Electrical Engineering (BS),Computer Science (MS),4
2021,Engineering (BS),Mgmt Sci & Engineering (MS),4
2021,Physics (BS),Computer Science (MS),4
2021,"Science, Tech, & Soc (BA)",Communication (MA),4
2021,Earth Systems (BS),Earth Systems (MA),3
2021,Earth Systems (BSH),Earth Systems (MS),3
2021,Economics (BA),Public Policy (MA),3
2021,Economics (BAH),Mgmt Sci & Engineering (MS),3
2021,Electrical Engineering (BS),Mgmt Sci & Engineering (MS),3
2021,Envir Systems Engr (BS),Civil & Envir Engr (MS),3
2021,International Relat (BA),Earth Systems (MA),3
2021,Materials Science & Engr (BS),Computer Science (MS),3
2021,Math & Comp Science (BS),Biomedical Informatics (MS),3
2021,Math & Comp Science (BS),Statistics (MS),3
2021,Mathematics (BSH),Computer Science (MS),3
2021,Mgmt Sci & Engineering (BS),Computer Science (MS),3
2021,Political Science (BA),Communication (MA),3
2021,Bioengineering (BSH),Computer Science (MS),2
2021,Biology (BS),Biomedical Informatics (MS),2
2021,Biology (BSH),Biomedical Informatics (MS),2
2021,Chemical Engineering (BS),Chemical Engineering (MS),2
2021,Communication (BA),Communication (MA),2
2021,Computer Science (BS),Biomedical Informatics (MS),2
2021,Computer Science (BS),Electrical Engineering (MS),2
2021,Computer Science (BS),Sustainability Sci & Prac (MS),2
2021,Economics (BAH),Statistics (MS),2
2021,Engineering (BS),Sustainability Sci & Prac (MA),2
2021,English (BA),Computer Science (MS),2
2021,Envir Systems Engr (BSH),Civil & Envir Engr (MS),2
2021,Human Biology (BS),Earth Systems (MA),2
2021,Human Biology (BS),Mgmt Sci & Engineering (MS),2
2021,Human Biology (BS),Sustainability Sci & Prac (MA),2
2021,International Relat (BA),Communication (MA),2
2021,International Relat (BA),Mgmt Sci & Engineering (MS),2
2021,Math & Comp Science (BS),Comput & Math Engr (MS),2
2021,Math & Comp Science (BSH),Computer Science (MS),2
2021,Mechanical Engineer (BS),Aeronautics & Astro (MS),2
2021,Mechanical Engineer (BS),Civil & Envir Engr (MS),2
2021,Mgmt Sci & Engineering (BS),Communication (MA),2
2021,Music (BA),Music (MA),2
2021,Philosophy (BA),Computer Science (MS),2
2021,Physics (BS),Electrical Engineering (MS),2
2021,Psychology (BA),Communication (MA),2
2021,"Science, Tech, & Soc (BS)",Communication (MA),2
2021,"Science, Tech, & Soc (BS)",Sustainability Sci & Prac (MS),2
2021,"Science, Tech, & Soc (BSH)",Sustainability Sci & Prac (MA),2
2021,Symbolic Systems (BS),Mgmt Sci & Engineering (MS),2
2021,Symbolic Systems (BS),Sustainability Sci & Prac (MS),2
2021,Symbolic Systems (BSH),Computer Science (MS),2
2021,Aeronautics & Astro (BS),Aeronautics & Astro (MS),1
2021,Aeronautics & Astro (BS),Applied and Engr Physics (MS),1
2021,Afric/Afro-Amer Stu (BA),Education (MA),1
2021,American Studies (BA),Computer Science (MS),1
2021,Asian American Stu (BA),Computer Science (MS),1
2021,Bioengineering (BS),Bioengineering (MS),1
2021,Bioengineering (BS),Biomedical Informatics (MS),1
2021,Bioengineering (BS),Chemical Engineering (MS),1
2021,Bioengineering (BSH),Bioengineering (MS),1
2021,Biology (BS),Computer Science (MS),1
2021,Biology (BS),Earth Systems (MA),1
2021,Biology (BS),History (MA),1
2021,Biology (BSH),Bioengineering (MS),1
2021,Biology (BSH),Community Health/Prev Res (MS),1
2021,Biology (BSH),Computer Science (MS),1
2021,Biology (BSH),Epidemiology & Clin Rsrch (MS),1
2021,Biology (BSH),Epidemiology (MS),1
2021,Biology (BSH),Sustainability Sci & Prac (MS),1
2021,Chemical Engineering (BS),Biomedical Informatics (MS),1
2021,Chemical Engineering (BS),Civil & Envir Engr (MS),1
2021,Chemistry (BS),Mechanical Engineer (MS),1
2021,Chemistry (BSH),Computer Science (MS),1
2021,Civil Engineering (BS),Computer Science (MS),1
2021,Civil Engineering (BS),Mgmt Sci & Engineering (MS),1
2021,Civil Engineering (BS),Sustainability Sci & Prac (MS),1
2021,Classics (BA),International Policy (MA),1
2021,Comp Stu Race & Eth (BA),Earth Systems (MA),1
2021,Comp Stu Race & Eth (BA),Mod Thought & Lit (MA),1
2021,Computer Science (BS),Applied and Engr Physics (MS),1
2021,Computer Science (BS),Civil & Envir Engr (MS),1
2021,Computer Science (BS),International Policy (MA),1
2021,Computer Science (BS),Materials Science & Engr (MS),1
2021,Computer Science (BSH),Symbolic Systems (MS),1
2021,Earth Systems (BS),Civil & Envir Engr (MS),1
2021,Earth Systems (BS),Computer Science (MS),1
2021,Earth Systems (BS),Sustainability Sci & Prac (MA),1
2021,Earth Systems (BS),Sustainability Sci & Prac (MS),1
2021,Economics (BA),Communication (MA),1
2021,Economics (BA),Earth Systems (MA),1
2021,Economics (BA),History (MA),1
2021,Economics (BA),Sustainability Sci & Prac (MS),1
2021,Economics (BAH),Computer Science (MS),1
2021,Economics (BAH),Public Policy (MA),1
2021,Electrical Engineering (BSH),Computer Science (MS),1
2021,Engineering (BS),Aeronautics & Astro (MS),1
2021,Engineering (BS),Civil & Envir Engr (MS),1
2021,Engineering (BS),Computer Science (MS),1
2021,Engineering (BS),Earth Systems (MA),1
2021,Engineering (BS),Sociology (MA),1
2021,Engineering (BS),Sustainability Sci & Prac (MS),1
2021,Engineering (BSH),Computer Science (MS),1
2021,Engineering (BSH),Mechanical Engineer (MS),1
2021,English (BA),Communication (MA),1
2021,English (BA),Community Health/Prev Res (MS),1
2021,English (BA),Earth Systems (MA),1
2021,English (BA),English (MA),1
2021,English (BAH),Computer Science (MS),1
2021,English (BAH),English (MA),1
2021,English (BAH),Mod Thought & Lit (MA),1
2021,Film and Media Studies (BA),Communication (MA),1
2021,History (BA),International Policy (MA),1
2021,History (BAH),Anthropology (MA),1
2021,History (BAH),Computer Science (MS),1
2021,Human Biology (BA),Earth Systems (MA),1
2021,Human Biology (BA),Education (MA),1
2021,Human Biology (BA),Sociology (MA),1
2021,Human Biology (BAH),Earth Systems (MS),1
2021,Human Biology (BS),Anthropology (MA),1
2021,Human Biology (BS),Biomedical Informatics (MS),1
2021,Human Biology (BS),Computer Science (MS),1
2021,Human Biology (BS),Epidemiology & Clin Rsrch (MS),1
2021,Human Biology (BS),Epidemiology (MS),1
2021,Human Biology (BS),Mechanical Engineer (MS),1
2021,Human Biology (BS),Sociology (MA),1
2021,Human Biology (BSH),Community Health/Prev Res (MS),1
2021,Human Biology (BSH),Epidemiology & Clin Rsrch (MS),1
2021,Human Biology (BSH),Epidemiology (MS),1
2021,Human Biology (BSH),Mgmt Sci & Engineering (MS),1
2021,Indiv Des Major-Engr (BS),Mechanical Engineer (MS),1
2021,Indiv Des Major-Engr (BS),Mgmt Sci & Engineering (MS),1
2021,International Relat (BA),East Asian Studies (MA),1
2021,International Relat (BA),International Policy (MA),1
2021,International Relat (BA),Rus & E Eurp & Eurasian (MA),1
2021,International Relat (BA),Russian & East Europe St (MA),1
2021,International Relat (BAH),East Asian Studies (MA),1
2021,Linguistics (BA),Communication (MA),1
2021,Linguistics (BAH),Computer Science (MS),1
2021,Materials Science & Engr (BS),Materials Science & Engr (MS),1
2021,Materials Science & Engr (BS),Mgmt Sci & Engineering (MS),1
2021,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),1
2021,Math & Comp Science (BSH),Mgmt Sci & Engineering (MS),1
2021,Mathematics (BS),Electrical Engineering (MS),1
2021,Mathematics (BS),Mgmt Sci & Engineering (MS),1
2021,Mechanical Engineer (BS),Computer Science (MS),1
2021,Mechanical Engineer (BS),Mgmt Sci & Engineering (MS),1
2021,Mechanical Engineer (BS),Sustainability Sci & Prac (MS),1
2021,Mechanical Engineer (BSH),Mechanical Engineer (MS),1
2021,Mgmt Sci & Engineering (BS),Sociology (MA),1
2021,Philosophy & Rel Stud (BA),Philosophy (MA),1
2021,Philosophy (BA),Earth Systems (MA),1
2021,Philosophy (BA),Philosophy (MA),1
2021,Philosophy (BAH),Computer Science (MS),1
2021,Physics (BSH),Mathematics (MS),1
2021,Political Science (BA),Earth Systems (MA),1
2021,Political Science (BA),International Policy (MA),1
2021,Political Science (BA),Mgmt Sci & Engineering (MS),1
2021,Political Science (BA),Philosophy (MA),1
2021,Political Science (BA),Sociology (MA),1
2021,Political Science (BA),Sustainability Sci & Prac (MS),1
2021,Political Science (BAH),Communication (MA),1
2021,Political Science (BAH),Computer Science (MS),1
2021,Political Science (BAH),Earth Systems (MA),1
2021,Psychology (BA),Computer Science (MS),1
2021,Psychology (BA),Religious Studies (MA),1
2021,Psychology (BA),Sustainability Sci & Prac (MA),1
2021,Psychology (BAH),Sociology (MA),1
2021,Public Policy (BA),Computer Science (MS),1
2021,Public Policy (BAH),Public Policy (MA),1
2021,"Science, Tech, & Soc (BS)",Computer Science (MS),1
2021,"Science, Tech, & Soc (BS)",Mgmt Sci & Engineering (MS),1
2021,"Science, Tech, & Soc (BS)",Sustainability Sci & Prac (MA),1
2021,Symbolic Systems (BS),Civil & Envir Engr (MS),1
2021,Symbolic Systems (BS),Communication (MA),1
2021,Symbolic Systems (BS),Earth Systems (MA),1
2021,Symbolic Systems (BS),Earth Systems (MS),1
2021,Symbolic Systems (BS),Music (MA),1
2021,Symbolic Systems (BS),Philosophy (MA),1
2021,Symbolic Systems (BS),Sociology (MA),1
2021,Symbolic Systems (BS),Symbolic Systems (MS),1
2021,Urban Studies (BA),Public Policy (MA),1
2021,Urban Studies (BA),Sociology (MA),1
2022,Computer Science (BS),Computer Science (MS),111
2022,Mathematics (BS),Computer Science (MS),24
2022,Mechanical Engineer (BS),Mechanical Engineer (MS),18
2022,Mgmt Sci & Engineering (BS),Mgmt Sci & Engineering (MS),15
2022,Computer Science (BS),Mgmt Sci & Engineering (MS),14
2022,Electrical Engineering (BS),Electrical Engineering (MS),13
2022,Electrical Engineering (BS),Computer Science (MS),11
2022,Symbolic Systems (BS),Computer Science (MS),10
2022,Earth Systems (BS),Earth Systems (MA),7
2022,Earth Systems (BS),Earth Systems (MS),7
2022,Biology (BSH),Biology (MS),6
2022,Engineering (BS),Mechanical Engineer (MS),6
2022,Math & Comp Science (BS),Computer Science (MS),6
2022,Chemical Engineering (BS),Chemical Engineering (MS),5
2022,Economics (BA),Computer Science (MS),5
2022,Economics (BA),Mgmt Sci & Engineering (MS),5
2022,Economics (BA),Public Policy (MA),5
2022,Human Biology (BS),Community Health/Prev Res (MS),5
2022,Public Policy (BA),Public Policy (MA),5
2022,Biology (BS),Biology (MS),4
2022,Civil Engineering (BS),Civil & Envir Engr (MS),4
2022,Computer Science (BSH),Computer Science (MS),4
2022,Economics (BA),Statistics (MS),4
2022,Economics (BAH),Computer Science (MS),4
2022,Engineering (BS),Mgmt Sci & Engineering (MS),4
2022,Math & Comp Science (BSH),Computer Science (MS),4
2022,Mgmt Sci & Engineering (BS),Computer Science (MS),4
2022,Political Science (BA),Communication (MA),4
2022,"Science, Tech, & Soc (BS)",Communication (MA),4
2022,Symbolic Systems (BS),Sustainability Sci & Prac (MS),4
2022,Bioengineering (BS),Computer Science (MS),3
2022,Communication (BA),Communication (MA),3
2022,Computer Science (BS),Biomedical Informatics (MS),3
2022,Earth Systems (BS),Sustainability Sci & Prac (MS),3
2022,Earth Systems (BSH),Earth Systems (MS),3
2022,Economics (BA),Sustainability Sci & Prac (MS),3
2022,Engineering (BS),Sustainability Sci & Prac (MS),3
2022,Envir Systems Engr (BS),Civil & Envir Engr (MS),3
2022,International Relat (BA),Latin American Studies (MA),3
2022,Materials Science & Engr (BS),Materials Science & Engr (MS),3
2022,Math & Comp Science (BS),Statistics (MS),3
2022,Mathematics (BSH),Computer Science (MS),3
2022,Political Science (BA),Sociology (MA),3
2022,Political Science (BA),Sustainability Sci & Prac (MS),3
2022,"Science, Tech, & Soc (BA)",Communication (MA),3
2022,Sociology (BA),Sociology (MA),3
2022,Symbolic Systems (BS),Mgmt Sci & Engineering (MS),3
2022,Aeronautics & Astro (BS),Aeronautics & Astro (MS),2
2022,Biology (BS),Computer Science (MS),2
2022,Biology (BS),Mgmt Sci & Engineering (MS),2
2022,Computer Science (BS),Electrical Engineering (MS),2
2022,Electrical Engineering (BSH),Computer Science (MS),2
2022,Engineering (BS),Aeronautics & Astro (MS),2
2022,Engineering (BS),Civil & Envir Engr (MS),2
2022,Engineering (BS),Computer Science (MS),2
2022,Geophysics (BS),Geophysics (MS),2
2022,Human Biology (BS),Laboratory Animal Science (MS),2
2022,Mathematics (BS),Mgmt Sci & Engineering (MS),2
2022,Mathematics (BS),Statistics (MS),2
2022,Mechanical Engineer (BS),Computer Science (MS),2
2022,Mechanical Engineer (BS),Electrical Engineering (MS),2
2022,Mechanical Engineer (BS),Mgmt Sci & Engineering (MS),2
2022,Mgmt Sci & Engineering (BS),Sustainability Sci & Prac (MS),2
2022,Physics (BS),Applied and Engr Physics (MS),2
2022,Physics (BS),Computer Science (MS),2
2022,"Science, Tech, & Soc (BS)",Sustainability Sci & Prac (MA),2
2022,Symbolic Systems (BS),Philosophy (MA),2
2022,Symbolic Systems (BS),Sociology (MA),2
2022,Symbolic Systems (BSH),Computer Science (MS),2
2022,American Studies (BA),Sustainability Sci & Prac (MA),1
2022,Anthropology (BA),Communication (MA),1
2022,Anthropology (BAH),Earth Systems (MS),1
2022,Art Practice (BA),Communication (MA),1
2022,Art Practice (BAH),Computer Science (MS),1
2022,Asian American Stu (BAH),Sociology (MA),1
2022,Bioengineering (BS),Biology (MS),1
2022,Bioengineering (BS),Biomedical Informatics (MS),1
2022,Bioengineering (BS),Chemical Engineering (MS),1
2022,Bioengineering (BS),Mechanical Engineer (MS),1
2022,Bioengineering (BS),Mgmt Sci & Engineering (MS),1
2022,Bioengineering (BS),Sustainability Sci & Prac (MS),1
2022,Biology (BS),Biomedical Informatics (MS),1
2022,Biology (BS),Epidemiology & Clin Rsrch (MS),1
2022,Biology (BS),Epidemiology (MS),1
2022,Biology (BS),Laboratory Animal Science (MS),1
2022,Biology (BS),Sustainability Sci & Prac (MS),1
2022,Biology (BSH),Community Health/Prev Res (MS),1
2022,Chemical Engineering (BS),Aeronautics & Astro (MS),1
2022,Chemical Engineering (BS),Mgmt Sci & Engineering (MS),1
2022,Chemical Engineering (BS),Sustainability Sci & Prac (MS),1
2022,Chemical Engineering (BSH),Bioengineering (MS),1
2022,Chemistry (BS),Biology (MS),1
2022,Chemistry (BS),Chemistry (MS),1
2022,Chemistry (BS),Electrical Engineering (MS),1
2022,Chemistry (BS),Materials Science & Engr (MS),1
2022,Classics (BA),Sustainability Sci & Prac (MA),1
2022,Communication (BA),Earth Systems (MA),1
2022,Communication (BAH),Communication (MA),1
2022,Comp Stu Race & Eth (BAH),Latin American Studies (MA),1
2022,Comp Stu Race & Eth (BAH),Sociology (MA),1
2022,Comparative Lit (BA),Sustainability Sci & Prac (MA),1
2022,Computer Science (BS),Epidemiology & Clin Rsrch (MS),1
2022,Computer Science (BS),Epidemiology (MS),1
2022,Computer Science (BS),International Policy (MA),1
2022,Computer Science (BS),Public Policy (MA),1
2022,Computer Science (BS),Symbolic Systems (MS),1
2022,Computer Science (BSH),Statistics (MS),1
2022,Earth Systems (BS),Mgmt Sci & Engineering (MS),1
2022,Earth Systems (BSH),Statistics (MS),1
2022,Economics (BAH),Mgmt Sci & Engineering (MS),1
2022,Economics (BAH),Public Policy (MA),1
2022,Economics (BAH),Statistics (MS),1
2022,Electrical Engineering (BS),Materials Science & Engr (MS),1
2022,Energy Resources Engineer(BS),Energy Resources Engineer (MS),1
2022,Engineering (BS),Biomedical Informatics (MS),1
2022,Engineering (BS),Communication (MA),1
2022,Engineering (BS),Electrical Engineering (MS),1
2022,Engineering (BS),Epidemiology & Clin Rsrch (MS),1
2022,Engineering (BS),Epidemiology (MS),1
2022,Engineering (BS),Materials Science & Engr (MS),1
2022,Engineering (BS),Sustainability Sci & Prac (MA),1
2022,English (BA),Communication (MA),1
2022,English (BA),Mgmt Sci & Engineering (MS),1
2022,English (BA),Sustainability Sci & Prac (MS),1
2022,English (BAH),Computer Science (MS),1
2022,English (BAH),English (MA),1
2022,English (BAH),Sociology (MA),1
2022,Envir Systems Engr (BSH),Civil & Envir Engr (MS),1
2022,"Fem, Gen, & Sex Studies (BA)",English (MA),1
2022,"Fem, Gen, & Sex Studies (BA)",Epidemiology & Clin Rsrch (MS),1
2022,"Fem, Gen, & Sex Studies (BA)",Epidemiology (MS),1
2022,Geological Sciences (BS),Geological Sciences (MS),1
2022,History (BA),Communication (MA),1
2022,History (BA),Computer Science (MS),1
2022,History (BA),Philosophy (MA),1
2022,History (BA),Rus & E Eurp & Eurasian (MA),1
2022,History (BA),Russian & East Europe St (MA),1
2022,Human Biology (BA),Community Health/Prev Res (MS),1
2022,Human Biology (BA),Computer Science (MS),1
2022,Human Biology (BA),Epidemiology & Clin Rsrch (MS),1
2022,Human Biology (BA),Epidemiology (MS),1
2022,Human Biology (BA),Public Policy (MA),1
2022,Human Biology (BA),Sustainability Sci & Prac (MA),1
2022,Human Biology (BS),Biology (MS),1
2022,Human Biology (BS),Earth Systems (MA),1
2022,Human Biology (BS),Epidemiology & Clin Rsrch (MS),1
2022,Human Biology (BS),Epidemiology (MS),1
2022,Human Biology (BSH),Mgmt Sci & Engineering (MS),1
2022,Indiv Des Major-Engr (BS),Communication (MA),1
2022,Indiv Des Major-Engr (BS),Electrical Engineering (MS),1
2022,International Relat (BA),International Policy (MA),1
2022,International Relat (BA),Public Policy (MA),1
2022,International Relat (BA),Sociology (MA),1
2022,International Relat (BA),Sustainability Sci & Prac (MS),1
2022,Linguistics (BAH),Computer Science (MS),1
2022,Materials Science & Engr (BS),Computer Science (MS),1
2022,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),1
2022,Math & Comp Science (BSH),Statistics (MS),1
2022,Mathematics (BS),Earth Systems (MS),1
2022,Mechanical Engineer (BS),Aeronautics & Astro (MS),1
2022,Mechanical Engineer (BS),Energy Resources Engineer (MS),1
2022,Mechanical Engineer (BS),Materials Science & Engr (MS),1
2022,Mechanical Engineer (BS),Sustainability Sci & Prac (MS),1
2022,Mgmt Sci & Engineering (BS),Communication (MA),1
2022,Mgmt Sci & Engineering (BS),Education (MA),1
2022,Music (BA),Music (MA),1
2022,Philosophy (BA),Electrical Engineering (MS),1
2022,Philosophy (BA),Mgmt Sci & Engineering (MS),1
2022,Philosophy (BA),Symbolic Systems (MS),1
2022,Physics (BS),Mgmt Sci & Engineering (MS),1
2022,Physics (BSH),Applied and Engr Physics (MS),1
2022,Physics (BSH),Comput & Math Engr (MS),1
2022,Political Science (BA),Education (MA),1
2022,Political Science (BA),Sustainability Sci & Prac (MA),1
2022,Psychology (BA),Biomedical Informatics (MS),1
2022,Psychology (BA),Sociology (MA),1
2022,Psychology (BAH),Sociology (MA),1
2022,Psychology (BAH),Statistics (MS),1
2022,"Science, Tech, & Soc (BA)",Sustainability Sci & Prac (MA),1
2022,"Science, Tech, & Soc (BAH)",Sustainability Sci & Prac (MA),1
2022,"Science, Tech, & Soc (BS)",Mgmt Sci & Engineering (MS),1
2022,"Science, Tech, & Soc (BSH)",Computer Science (MS),1
2022,Sociology (BA),Communication (MA),1
2022,Sociology (BA),Computer Science (MS),1
2022,Sociology (BAH),Sustainability Sci & Prac (MS),1
2022,Symbolic Systems (BS),German Studies (MA),1
2022,Symbolic Systems (BS),Statistics (MS),1
2022,Symbolic Systems (BS),Sustainability Sci & Prac (MA),1
2022,Urban Studies (BAH),Community Health/Prev Res (MS),1
2022,Urban Studies (BAH),Sociology (MA),1
2023,Computer Science (BS),Computer Science (MS),98
2023,Mechanical Engineer (BS),Mechanical Engineer (MS),23
2023,Symbolic Systems (BS),Computer Science (MS),21
2023,Electrical Engineering (BS),Electrical Engineering (MS),17
2023,Mathematics (BS),Computer Science (MS),15
2023,Math & Comp Science (BS),Computer Science (MS),11
2023,Computer Science (BS),Mgmt Sci & Engineering (MS),8
2023,Economics (BA),Computer Science (MS),8
2023,Computer Science (BSH),Computer Science (MS),7
2023,Electrical Engineering (BS),Computer Science (MS),7
2023,Earth Systems (BS),Earth Systems (MS),6
2023,Economics (BA),Mgmt Sci & Engineering (MS),6
2023,Engineering (BS),Computer Science (MS),6
2023,Engineering (BS),Mechanical Engineer (MS),6
2023,Mathematics (BSH),Computer Science (MS),6
2023,Physics (BS),Computer Science (MS),6
2023,Earth Systems (BS),Earth Systems (MA),5
2023,Math & Comp Science (BS),Mgmt Sci & Engineering (MS),5
2023,Mgmt Sci & Engineering (BS),Mgmt Sci & Engineering (MS),5
2023,Chemical Engineering (BS),Chemical Engineering (MS),4
2023,English (BAH),Mod Thought & Lit (MA),4
2023,Mechanical Engineer (BS),Mgmt Sci & Engineering (MS),4
2023,Mgmt Sci & Engineering (BS),Computer Science (MS),4
2023,Political Science (BA),Communication (MA),4
2023,Aeronautics & Astro (BS),Aeronautics & Astro (MS),3
2023,Aeronautics & Astro (BS),Mechanical Engineer (MS),3
2023,Bioengineering (BS),Bioengineering (MS),3
2023,Biology (BS),Computer Science (MS),3
2023,Biology (BSH),Biology (MS),3
2023,Communication (BA),Communication (MA),3
